makerd,model,size,formatd,doors,seats
BMW,3-Series,Medium car,Estate,5,5
BMW,3-Series,Medium car,Estate,5,5
BMW,3-Series,Medium car,Estate,5,5
BMW,3-Series,Medium car,Estate,5,5
BMW,3-Series,Medium car,Estate,5,5
BMW,3-Series,Medium car,Estate,5,5
BMW,3-Series,Medium car,Estate,5,5
BMW,3-Series,Medium car,Estate,5,5
BMW,3-Series,Medium car,Estate,5,5
BMW,3-Series,Medium car,Estate,5,5
BMW,3-Series,Medium car,Estate,5,5
BMW,3-Series,Medium car,Estate,5,5
BMW,3-Series,Medium car,Estate,5,5
BMW,3-Series,Medium car,Liftback,5,5
BMW,3-Series,Medium car,Liftback,5,5
BMW,3-Series,Medium car,Liftback,5,5
BMW,3-Series,Medium car,Liftback,5,5
BMW,3-Series,Medium car,Liftback,5,5
BMW,3-Series,Medium car,Liftback,5,5
BMW,3-Series,Medium car,Liftback,5,5
BMW,3-Series,Medium car,Liftback,5,5
BMW,3-Series,Medium car,Liftback,5,5
BMW,3-Series,Medium car,Liftback,5,5
BMW,3-Series,Medium car,Liftback,5,5
BMW,3-Series,Medium car,Liftback,5,5
BMW,3-Series,Medium car,Liftback,5,5
BMW,3-Series,Medium car,Liftback,5,5
BMW,3-Series,Medium car,Liftback,5,5
BMW,3-Series,Medium car,Liftback,5,5
BMW,3-Series,Medium car,Liftback,5,5
BMW,3-Series,Medium car,Liftback,5,5
BMW,3-Series,Medium car,Liftback,5,5
BMW,3-Series,Medium car,Liftback,5,5
BMW,3-Series,Medium car,Liftback,5,5
BMW,3-Series,Medium car,Liftback,5,5
BMW,3-Series,Medium car,Liftback,5,5
BMW,3-Series,Medium car,Liftback,5,5
BMW,3-Series,Medium car,Liftback,5,5
BMW,3-Series,Medium car,Liftback,5,5
BMW,3-Series,Medium car,Liftback,5,5
BMW,3-Series,Medium car,Liftback,5,5
BMW,3-Series,Medium car,Liftback,5,5
BMW,4-Series,Medium car,Coupe,2,4
BMW,4-Series,Medium car,Coupe,2,4
BMW,4-Series,Medium car,Coupe,2,4
BMW,4-Series,Medium car,Coupe,2,4
BMW,4-Series,Medium car,Coupe,2,4
BMW,4-Series,Medium car,Coupe,2,4
BMW,4-Series,Medium car,Coupe,2,4
BMW,4-Series,Medium car,Coupe,2,4
BMW,4-Series,Medium car,Coupe,2,4
BMW,4-Series,Medium car,Coupe,2,4
BMW,4-Series,Medium car,Coupe,2,4
BMW,4-Series,Medium car,Coupe,2,4
BMW,4-Series,Medium car,Coupe,2,4
BMW,4-Series,Medium car,Coupe,2,4
BMW,4-Series,Medium car,Coupe,2,4
BMW,4-Series,Medium car,Coupe,2,4
BMW,4-Series,Medium car,Coupe,2,4
BMW,4-Series,Medium car,Coupe,2,4
BMW,4-Series,Medium car,Coupe,2,4
BMW,4-Series,Medium car,Coupe,2,4
BMW,4-Series,Medium car,Coupe,2,4
BMW,4-Series,Medium car,Coupe,2,4
BMW,4-Series,Medium car,Coupe,2,4
BMW,4-Series,Medium car,Coupe,2,4
BMW,4-Series,Medium car,Coupe,2,4
BMW,4-Series,Medium car,Coupe,2,4
BMW,4-Series,Medium car,Coupe,2,4
BMW,4-Series,Medium car,Cabrio,2,4
BMW,4-Series,Medium car,Cabrio,2,4
BMW,4-Series,Medium car,Cabrio,2,4
BMW,4-Series,Medium car,Cabrio,2,4
BMW,4-Series,Medium car,Cabrio,2,4
BMW,4-Series,Medium car,Cabrio,2,4
BMW,4-Series,Medium car,Cabrio,2,4
BMW,4-Series,Medium car,Cabrio,2,4
BMW,4-Series,Medium car,Cabrio,2,4
BMW,4-Series,Medium car,Cabrio,2,4
BMW,4-Series,Medium car,Cabrio,2,4
BMW,4-Series,Medium car,Cabrio,2,4
BMW,4-Series,Medium car,Cabrio,2,4
BMW,4-Series,Medium car,Cabrio,2,4
BMW,4-Series,Medium car,Cabrio,2,4
BMW,4-Series,Medium car,Cabrio,2,4
BMW,4-Series,Medium car,Cabrio,2,4
BMW,4-Series,Medium car,Cabrio,2,4
BMW,4-Series,Medium car,Coupe,5,5
BMW,4-Series,Medium car,Coupe,5,5
BMW,4-Series,Medium car,Coupe,5,5
BMW,4-Series,Medium car,Coupe,5,5
BMW,4-Series,Medium car,Coupe,5,5
BMW,4-Series,Medium car,Coupe,5,5
BMW,4-Series,Medium car,Coupe,5,5
BMW,4-Series,Medium car,Coupe,5,5
BMW,4-Series,Medium car,Coupe,5,5
BMW,4-Series,Medium car,Coupe,5,5
BMW,4-Series,Medium car,Coupe,5,5
BMW,4-Series,Medium car,Coupe,5,5
BMW,4-Series,Medium car,Coupe,5,5
BMW,4-Series,Medium car,Coupe,5,5
BMW,4-Series,Medium car,Coupe,5,5
BMW,4-Series,Medium car,Coupe,5,5
BMW,4-Series,Medium car,Coupe,5,5
BMW,4-Series,Medium car,Coupe,5,5
BMW,4-Series,Medium car,Coupe,5,5
BMW,4-Series,Medium car,Coupe,5,5
BMW,4-Series,Medium car,Coupe,5,5
BMW,4-Series,Medium car,Coupe,5,5
Honda,Civic,Compact car,Hatchback,3,4
Honda,Civic,Compact car,Saloon,4,4
Honda,Civic,Compact car,Hatchback,4,4
Honda,Civic,Compact car,Hatchback,4,5
Honda,Civic,Compact car,Hatchback,4,5
Honda,Civic,Compact car,Hatchback,3,5
Honda,Civic,Compact car,Estate,5,5
Honda,Civic,Compact car,Estate,5,5
Honda,Civic,Compact car,Hatchback,3,5
Honda,Civic,Compact car,Hatchback,3,5
Honda,Civic,Compact car,Hatchback,3,5
Honda,Civic,Compact car,Hatchback,3,5
Honda,Civic,Compact car,Estate,5,5
Honda,Civic,Compact car,Hatchback,3,5
Honda,Civic,Compact car,Hatchback,3,5
Honda,Civic,Compact car,Hatchback,3,5
Honda,Civic,Compact car,Hatchback,3,5
Honda,Civic,Compact car,Hatchback,3,5
Honda,Civic,Compact car,Saloon,4,5
Honda,Civic,Compact car,Saloon,4,5
Honda,Civic,Compact car,Saloon,4,5
Honda,Civic,Compact car,Estate,5,5
Honda,Civic,Compact car,Hatchback,3,5
Honda,Civic,Compact car,Hatchback,3,5
Honda,Civic,Compact car,Hatchback,3,5
Honda,Civic,Compact car,Hatchback,3,5
Honda,Civic,Compact car,Hatchback,3,5
Honda,Civic,Compact car,Liftback,5,5
Honda,Civic,Compact car,Liftback,5,5
Honda,Civic,Compact car,Liftback,5,5
Honda,Civic,Compact car,Liftback,5,5
Honda,Civic,Compact car,Saloon,5,5
Honda,Civic,Compact car,Saloon,5,5
Honda,Civic,Compact car,Saloon,5,5
Honda,Civic,Compact car,Saloon,5,5
Honda,Civic,Compact car,Coupe,2,5
Honda,Civic,Compact car,Coupe,2,5
Honda,Civic,Compact car,Hatchback,3,5
Honda,Civic,Compact car,Hatchback,3,5
Honda,Civic,Compact car,Hatchback,3,5
Honda,Civic,Compact car,Hatchback,3,5
Honda,Civic,Compact car,Hatchback,3,5
Honda,Civic,Compact car,Hatchback,3,5
Honda,Civic,Compact car,Hatchback,3,5
Honda,Civic,Compact car,Liftback,5,5
Honda,Civic,Compact car,Liftback,5,5
Honda,Civic,Compact car,Liftback,5,5
Honda,Civic,Compact car,Liftback,5,5
Honda,Civic,Compact car,Liftback,5,5
Honda,Civic,Compact car,Liftback,5,5
Honda,Civic,Compact car,Liftback,5,5
Honda,Civic,Compact car,Liftback,5,5
Honda,Civic,Compact car,Liftback,5,5
Honda,Civic,Compact car,Saloon,4,5
Honda,Civic,Compact car,Saloon,4,5
Honda,Civic,Compact car,Coupe,2,5
Honda,Civic,Compact car,Coupe,2,5
Honda,Civic,Compact car,Estate,5,5
Honda,Civic,Compact car,Estate,5,5
Honda,Civic,Compact car,Estate,5,5
Honda,Civic,Compact car,Estate,5,5
Honda,Civic,Compact car,Estate,5,5
Honda,Civic,Compact car,Hatchback,3,5
Honda,Civic,Compact car,Hatchback,3,5
Honda,Civic,Compact car,Hatchback,3,5
Honda,Civic,Compact car,Hatchback,3,5
Honda,Civic,Compact car,Liftback,5,5
Honda,Civic,Compact car,Liftback,5,5
Honda,Civic,Compact car,Liftback,5,5
Honda,Civic,Compact car,Liftback,5,5
Honda,Civic,Compact car,Coupe,2,5
Honda,Civic,Compact car,Coupe,2,5
Honda,Civic,Compact car,Hatchback,3,5
Honda,Civic,Compact car,Hatchback,3,5
Honda,Civic,Compact car,Hatchback,3,5
Honda,Civic,Compact car,Hatchback,3,5
Honda,Civic,Compact car,Hatchback,5,5
Honda,Civic,Compact car,Hatchback,5,5
Honda,Civic,Compact car,Hatchback,5,5
Honda,Civic,Compact car,Hatchback,5,5
Honda,Civic,Compact car,Saloon,4,5
Honda,Civic,Compact car,Saloon,4,5
Honda,Civic,Medium car,Hatchback,5,5
Honda,Civic,Medium car,Hatchback,5,5
Honda,Civic,Medium car,Hatchback,5,5
Honda,Civic,Medium car,Hatchback,5,5
Honda,Civic,Medium car,Hatchback,5,5
Honda,Civic,Medium car,Hatchback,5,5
Honda,Civic,Medium car,Hatchback,5,5
Honda,Civic,Medium car,Hatchback,5,4
Honda,Civic,Medium car,Saloon,4,5
Honda,Civic,Medium car,Estate,5,5
Honda,Civic,Medium car,Estate,5,5
Honda,Civic,Medium car,Estate,5,5
Honda,Civic,Medium car,Estate,5,5
Volkswagen,Golf,Compact car,Hatchback,3,5
Volkswagen,Golf,Compact car,Hatchback,3,5
Volkswagen,Golf,Compact car,Hatchback,3,5
Volkswagen,Golf,Compact car,Hatchback,3,5
Volkswagen,Golf,Compact car,Hatchback,3,5
Volkswagen,Golf,Compact car,Hatchback,3,5
Volkswagen,Golf,Compact car,Hatchback,3,5
Volkswagen,Golf,Compact car,Hatchback,3,5
Volkswagen,Golf,Compact car,Hatchback,3,5
Volkswagen,Golf,Compact car,Hatchback,3,5
Volkswagen,Golf,Compact car,Hatchback,3,5
Volkswagen,Golf,Compact car,Hatchback,3,5
Volkswagen,Golf,Compact car,Hatchback,3,5
Volkswagen,Golf,Compact car,Hatchback,3,5
Volkswagen,Golf,Compact car,Hatchback,3,5
Volkswagen,Golf,Compact car,Hatchback,3,5
Volkswagen,Golf,Compact car,Hatchback,3,5
Volkswagen,Golf,Compact car,Hatchback,3,5
Volkswagen,Golf,Compact car,Hatchback,3,5
Volkswagen,Golf,Compact car,Hatchback,3,5
Volkswagen,Golf,Compact car,Hatchback,3,5
Volkswagen,Golf,Compact car,Hatchback,3,5
Volkswagen,Golf,Compact car,Hatchback,3,5
Volkswagen,Golf,Compact car,Hatchback,3,5
Volkswagen,Golf,Compact car,Hatchback,3,5
Volkswagen,Golf,Compact car,Hatchback,3,5
Volkswagen,Golf,Compact car,Hatchback,3,5
Volkswagen,Golf,Compact car,Hatchback,5,5
Volkswagen,Golf,Compact car,Hatchback,5,5
Volkswagen,Golf,Compact car,Hatchback,5,5
Volkswagen,Golf,Compact car,Hatchback,5,5
Volkswagen,Golf,Compact car,Hatchback,5,5
Volkswagen,Golf,Compact car,Hatchback,5,5
Volkswagen,Golf,Compact car,Hatchback,5,5
Volkswagen,Golf,Compact car,Hatchback,5,5
Volkswagen,Golf,Compact car,Hatchback,5,5
Volkswagen,Golf,Compact car,Hatchback,5,5
Volkswagen,Golf,Compact car,Hatchback,5,5
Volkswagen,Golf,Compact car,Hatchback,5,5
Volkswagen,Golf,Compact car,Hatchback,5,5
Volkswagen,Golf,Compact car,Hatchback,5,5
Volkswagen,Golf,Compact car,Hatchback,5,5
Volkswagen,Golf,Compact car,Hatchback,5,5
Volkswagen,Golf,Compact car,Hatchback,5,5
Volkswagen,Golf,Compact car,Hatchback,5,5
Volkswagen,Golf,Compact car,Hatchback,5,5
Volkswagen,Golf,Compact car,Hatchback,5,5
Volkswagen,Golf,Compact car,Hatchback,5,5
Volkswagen,Golf,Compact car,Hatchback,5,5
Volkswagen,Golf,Compact car,Hatchback,5,5
Volkswagen,Golf,Compact car,Hatchback,5,5
Volkswagen,Golf,Compact car,Hatchback,5,5
Volkswagen,Golf,Compact car,Hatchback,5,5
Volkswagen,Golf,Compact car,Hatchback,5,5
Volkswagen,Golf,Compact car,Hatchback,5,5
Volkswagen,Golf,Compact car,Hatchback,5,5
Volkswagen,Golf,Compact car,Hatchback,5,5
Volkswagen,Golf,Compact car,Hatchback,5,5
Volkswagen,Golf,Compact car,Hatchback,5,5
Volkswagen,Golf,Compact car,Hatchback,5,5
Volkswagen,Golf,Compact car,Hatchback,5,5
Volkswagen,Golf,Compact car,Hatchback,5,5
Volkswagen,Golf,Compact car,Hatchback,5,5
Volkswagen,Golf,Compact car,Hatchback,5,5
Volkswagen,Golf,Compact car,Hatchback,5,5
Volkswagen,Golf,Compact car,Hatchback,5,5
Volkswagen,Golf,Compact car,MPV,5,5
Volkswagen,Golf,Compact car,MPV,5,5
Volkswagen,Golf,Compact car,MPV,5,5
Volkswagen,Golf,Compact car,MPV,5,5
Volkswagen,Golf,Compact car,MPV,5,5
Volkswagen,Golf,Compact car,MPV,5,5
Volkswagen,Golf,Compact car,MPV,5,5
Volkswagen,Golf,Compact car,MPV,5,5
Volkswagen,Golf,Compact car,MPV,5,5
Volkswagen,Golf,Compact car,Estate,5,5
Volkswagen,Golf,Compact car,Estate,5,5
Volkswagen,Golf,Compact car,Estate,5,5
Volkswagen,Golf,Compact car,Estate,5,5
Volkswagen,Golf,Compact car,Estate,5,5
Volkswagen,Golf,Compact car,Estate,5,5
Volkswagen,Golf,Compact car,Estate,5,5
Volkswagen,Golf,Compact car,Estate,5,5
Volkswagen,Golf,Compact car,Estate,5,5
Volkswagen,Golf,Compact car,Estate,5,5
Volkswagen,Golf,Compact car,Estate,5,5
Volkswagen,Golf,Compact car,Estate,5,5
Volkswagen,Golf,Compact car,Estate,5,5
Volkswagen,Golf,Compact car,Estate,5,5
Volkswagen,Golf,Compact car,Estate,5,5
Volkswagen,Golf,Compact car,Estate,5,5
Volkswagen,Golf,Compact car,Estate,5,5
Volkswagen,Golf,Compact car,Estate,5,5
Volkswagen,Golf,Compact car,Estate,5,5
Volkswagen,Golf,Compact car,Estate,5,5
Volkswagen,Golf,Compact car,Estate,5,5
Volkswagen,Golf,Compact car,Estate,5,5
Volkswagen,Golf,Compact car,Estate,5,5
Volkswagen,Golf,Compact car,Estate,5,5
Volkswagen,Golf,Compact car,Estate,5,5
Volkswagen,Golf,Compact car,Estate,5,5
Volkswagen,Golf,Compact car,Estate,5,5
Volkswagen,Golf,Compact car,Estate,5,5
Volkswagen,Golf,Compact car,Estate,5,5
Volkswagen,Golf,Compact car,Estate,5,5
Volkswagen,Golf,Compact car,Estate,5,5
Volkswagen,Golf,Compact car,Estate,5,5
Volkswagen,Golf,Compact car,Estate,5,5
Volkswagen,Golf,Compact car,Estate,5,5
Volkswagen,Golf,Compact car,Estate,5,5
Volkswagen,Golf,Compact car,Estate,5,5
