name,description,price,img,linkto,infos2,infos3,infos4,rating,promo,prix_barre,striped_price
Lave linge hublotProline FP 612 W,Capacité 6 kg (tambour 38 L) - Classe A++,229,https://image.darty.com/gros_electromenager/lavage_sechage/lave-linge_hublot/proline_fp_612_w_p1610264250010A_170307023.jpg,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/proline_fp_612_w.html,Essorage 1200 tours/min,Fin différée 3/6/9 heures,Programme rapide 15 min,"4,4/5 (341 avis)",,,
Lave linge ouverture dessusIndesit BTWCA51052,Capacité 5 kg (tambour 42 L) - Classe A++,249,https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_ouverture_dessus/indesit_btwca51052.html,Essorage jusqu'à 1000 tours/min,Départ différé 1-3-6-9-12 heures,Turn & Wash - Rapid Wash - Energy Saver,"4,4/5 (159 avis)",Bon plan,299,- 17%
Lave linge hublotIndesit XWA71452WFR,Capacité 7 kg (tambour 52 L) - Classe A++,299,https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/indesit_xwa71452wfr.html,Essorage max. 1400 tours/min,Départ différé : 3/6/9 heures,16 programmes (dont 4 spécial sport),"4,4/5 (449 avis)",,,
Lave linge séchantIndesit XWDE 861480X W FR,Capacité de lavage 8 kg / séchage 6 kg - Classe A,399,https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_sechant/indesit_xwde_861480x_w_fr.html,Essorage max. 1400 tours/min,Départ différé 24 heures / Affichage temps restant,Woolmark blue - Push & wash dry,4/5 (62 avis),,,
Lave linge hublotSamsung WW70J5355 METAL GREY,Capacité 7 kg (volume du tambour 63 L),469,https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/samsung_ww70j5355_metal_grey.html,Essorage variable jusqu'à 1200 tours/min,Fin différé de 3 à 19 h / Affichage du temps restant,Technologie Eco Bubble - Tambour Crystal Care - Tiroir Perfect Clean,"4,6/5 (178 avis)",,,
Lave linge hublotLg F94N51WHSB,Capacité 9 kg (tambour 59 L) - Classe A+++(- 30%),499,https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/lg_f94n51whsb.html,Essorage max. 1400 tours/min,Fin différée / Affichage du temps restant,Synchronisation via WiFi - AIDD - Compatible TWINWASH MINI,5/5 (2 avis),Bon plan,659,- 24%
Lave linge hublotWhirlpool FWFD91483BFR,Capacité 9 kg (tambour 62 L) - Classe A+++,399,https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/whirlpool_fwfd91483bfr.html,Essorage variable jusqu'à 1400 tours/min,Départ différé avec écran digital,Programmateur 6 ème SENS - Option Fresh Care+ - Moteur induction,"4,6/5 (39 avis)",Bon plan,499,- 20%
Lave linge hublotIndesit XWE 101484X WSSS FR,Capacité 10 kg (tambour 71 L) - Classe A+++,399,https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/indesit_xwe_101484x_wsss_fr.html,Essorage max. 1400 tours/min,Départ différé de 1 à 24 heures,16 programmes (dont 1 spécial sport),"4,4/5 (156 avis)",Bon plan,499,- 20%
Lave linge hublotSiemens WM12B211FF,Capacité 6 kg (tambour 42 L) - Classe A+++,329,https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/siemens_wm12b211ff.html,Essorage variable jusqu'à 1200 tours/min,Fin différée / Affichage du temps restant,Cycle Express 15 min. - VarioSpeed - WaterPerfect,"4,4/5 (12 avis)",Bon plan,379,- 13%
Lave linge hublotBeko LLF08W3,Capacité 8 kg (tambour 55 L) - Classe A+++,299,https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/beko_llf08w3.html,Essorage variable jusqu'à 1200 tours/min,Tambour Aquawave - Parois anti-vibrations,Programme Mini 30°C,"3,9/5 (61 avis)",Bon plan,379,- 21%
Lave linge hublotFaure FWF10120PS,Capacité 10 kg (tambour 68 L) - Classe A+++ -20%,329,https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/faure_fwf10120ps.html,Essorage variable jusqu'à 1200 tours/min,Départ différé 3/6/9 heures,Tambour et hublot XXL - Fonction AutoSense,"4,5/5 (141 avis)",Bon plan,399,- 17%
Lave linge hublotProline FP581WH,Capacité 5 kg (tambour 38 L) - Classe A+,199,https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/proline_fp581wh.html,Essorage variable 800 tours/min,Départ différé 3/6/9 heures,23 programmes,"4,5/5 (200 avis)",Bon plan,219,- 9%
Lave linge hublotBosch WAB24211FF,Capacité 6 kg (tambour 42 L) - Classe A+++,499,https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/bosch_wab24211ff.html,Essorage variable jusqu'à 1200 tours/min,Fin différée / Affichage du temps restant,Flexibilité totale du lavage - Programme express 15 min,"4,5/5 (236 avis)",,,
Lave linge hublotThomson TW714,Capacité 7 kg (tambour 45.5 L) - Classe A+++,399,https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/thomson_tw714.html,Essorage variable jusqu'à 1400 tours/min,Fin différée 24 heures / Affichage du temps restant,"Faible profondeur 49,5 cm","4,7/5 (53 avis)",,,
Lave linge ouverture dessusHaier RTXSSG684TMH-47,Capacité 8 kg (Volume du tambour 46 L) - Classe A+++-30%,429,https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_ouverture_dessus/haier_rtxssg684tmh-47.html,Essorage variable jusqu'à 1400 tours/min,Départ différé / Affichage du temps restant,Technologie antibactérienne - Fonction vapeur - Moter Inverter,"4,7/5 (3 avis)",Bon plan,599,- 28%
Lave linge hublotProline FP 610 W,Capacité 6 kg (tambour 44 L) - Classe A++,219,https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/proline_fp_610_w.html,Essorage variable jusqu'à 1000 tours/min,Départ différé 3/6/9/12 heures,Fonction suppression essorage - Programme Ecolavage 20°C,"4,2/5 (387 avis)",,,
Lave linge ouverture dessusWhirlpool AWE5213,Capacité 5 kg (tambour 42 L) - Classe A+++,359,https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_ouverture_dessus/whirlpool_awe5213.html,Essorage jusqu'à 1200 tours/min,Départ différé de 1 à 12 h,Programme Magic 40°C,"4,3/5 (436 avis)",,,
Lave linge séchantWhirlpool FWDG97168WSFR,Capacité de lavage 9 kg / Séchage 7 kg - Classe A,599,https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_sechant/whirlpool_fwdg97168wsfr.html,Essorage max. 1600 tours/min,Départ différé /Affichage du temps restant,Programmateur 6ème Sens - Option Fresh Care+ - Programme Mixte,3/5 (1 avis),Soldes,799,- 25%
Lave linge ouverture dessusElectrolux EW7T3375DD,Capacité 7 kg (tambour 42 L) - Classe A+++,499,https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_ouverture_dessus/electrolux_ew7t3375dd.html,Essorage jusqu'à 1300 tours/min,Départ différé jusqu'à 20 h / Affichage du temps restant,Système SensiCare - Time Manager - Option Douceur plus,"4,4/5 (22 avis)",Bon plan,659,- 24%
Lave linge hublotElectrolux EW2F1284GF,Capacité 8 kg - Classe A+++,399,https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/electrolux_ew2f1284gf.html,Essorage variable jusqu'à 1200 tours/min,Départ différé / Temps restant,TimeCare - TimeManager - Système AutoClean - Top amovible,"4,4/5 (180 avis)",,,
Lave linge hublotHaier HW90-BP14636,Capacité 9 kg (tambour 55 L) - A+++ -40%,439,https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/haier_hw90-bp14636.html,Essorage variable jusqu'à 1400 tours/min,Fin différée / Affichage du temps restant,Technologie antibactérienne - Fonction vapeur,"4,6/5 (105 avis)",,,
Sèche lingeProline DVE7P-1,Capacité 7 Kg - Evacuation,199,https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/seche-linge/proline_dve7p-1.html,Séchage par capteur de température,Programmes spécifiques dont lingerie et chemise - Programme rapide,Superposable - Kit d'évacuation directe fourni,"4,5/5 (117 avis)",,,
Lave linge hublotSamsung WW70K5410UX ADDWASH,Capacité 7 kg (tambour 63 L) - Classe A+++ (-30%),459,https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/samsung_ww70k5410ux.html,Essorage variable jusqu'à 1400 tours/min,Fin différée / Affichage du temps restant,Technologie EcoBubble - Hublot additionnel Add Wash,"4,5/5 (25 avis)",Bon plan,629,- 27%
Sèche lingeBosch WTN85207FF,Capacité 7 kg - Condensation,419,https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/seche-linge/siemens_wtn85207ff.html,Séchage par sonde (arrêt automatique),Fin différée avec affichage du temps restant,Design antiVibration - AutoDry - Système de séchage sensitif,"4,3/5 (89 avis)",,,
Lave linge séchantSamsung WD70J5A10AWEF,Capacité de lavage 7 kg / séchage 4 kg - Classe A,599,https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_sechant/samsung_wd70j5a10awef.html,Essorage max. 1400 tours/min,Fin différée / Affichage du temps restant,Cycle enchaîné lavage + séchage,"4,5/5 (92 avis)",,,
Sèche lingeProline PROCD7,Capacité 7 kg - Condensation,299,https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/seche-linge/proline_procd7.html,Séchage par sonde,Départ différé / Affichage du temps restant,,"4,1/5 (25 avis)",,,
Lave linge hublotBosch WAN28200FF,Capacité 8 kg (tambour 55 L) - Classe A+++ -10%,549,https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/bosch_wan28200ff.html,Essorage variable jusqu'à 1400 tours/min,Fin différée / Affichage du temps restant,Moteur à induction - Ouverture immédiate pour rajout de linge,"4,5/5 (151 avis)",Bon plan,599,- 8%
Lave linge hublotElectrolux EW6F4840SP PERFECTCARE,Capacité 8 kg (tambour 53 L) - Classe A+++ -20%,449,https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/electrolux_ew6f4840sp.html,Essorage variable jusqu'à 1400 tours/min,Départ différé / Affichage du temps restant,Système SensiCare - Option douceur plus,"4,6/5 (75 avis)",Soldes,599,- 25%
Lave linge hublotElectrolux EW2F6812WI,Capacité 8 kg (tambour 53 L) - Classe A+++ -20%,399,https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/electrolux_ew2f6812wi.html,Essorage variable jusqu'à 1400 tours/min,Départ différé / Affichage du temps restant,Système TimeCare - Fonction AutoSense - AutoClean - Top amovible,"4,3/5 (12 avis)",Bon plan,459,- 13%
Lave linge hublotBeko WTS7200W,Capacité 7 kg (tambour 50 L) - A+++,359,https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/beko_wts7200w.html,Essorage variable jusqu'à 1200 tr/min,Départ différé / Affichage du temps restant,Moteur ProSmart Inverter et Vapeur SteamCure,"4,5/5 (42 avis)",,,
Lave linge hublotElectrolux EW6F4840SP PERFECTCARE,Capacité 8 kg (tambour 53 L) - Classe A+++ -20%,449,https://image.darty.com/gros_electromenager/lavage_sechage/lave-linge_hublot/electrolux_ew6f4840sp_p1709254346955A_093142856.jpg,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/electrolux_ew6f4840sp.html,Essorage variable jusqu'à 1400 tours/min,Départ différé / Affichage du temps restant,Système SensiCare - Option douceur plus,"4,6/5 (75 avis)",Soldes,599,- 25%
Lave linge hublotElectrolux EW2F6812WI,Capacité 8 kg (tambour 53 L) - Classe A+++ -20%,399,https://image.darty.com/gros_electromenager/lavage_sechage/lave-linge_hublot/electrolux_ew2f6812wi_p1902264668537A_111553364.jpg,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/electrolux_ew2f6812wi.html,Essorage variable jusqu'à 1400 tours/min,Départ différé / Affichage du temps restant,Système TimeCare - Fonction AutoSense - AutoClean - Top amovible,"4,3/5 (12 avis)",Bon plan,459,- 13%
Lave linge hublotBeko WTS7200W,Capacité 7 kg (tambour 50 L) - A+++,359,https://image.darty.com/gros_electromenager/lavage_sechage/lave-linge_hublot/beko_wts7200w_p1901294652975A_170913674.jpg,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/beko_wts7200w.html,Essorage variable jusqu'à 1200 tr/min,Départ différé / Affichage du temps restant,Moteur ProSmart Inverter et Vapeur SteamCure,"4,5/5 (42 avis)",,,
